,Test,Die,VDD (V),,,,,,,VG1 (V),IDD (A),,,,,,,,,,,,,,,
693862,TCC2,AD10,5,#,#,#,#,#,#,-0.426875,0.05789,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD15,5,#,#,#,#,#,#,-0.399375,0.05774,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD16,5,#,#,#,#,#,#,-0.4028125,0.05783,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD17,5,#,#,#,#,#,#,-0.399375,0.05754,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD18,5,#,#,#,#,#,#,-0.4028125,0.05822,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD19,5,#,#,#,#,#,#,-0.399375,0.05743,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD20,5,#,#,#,#,#,#,-0.399375,0.05796,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD25,5,#,#,#,#,#,#,-0.399375,0.05756,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD26,5,#,#,#,#,#,#,-0.399375,0.05782,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD27,5,#,#,#,#,#,#,-0.399375,0.05786,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD28,5,#,#,#,#,#,#,-0.399375,0.0576,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD29,5,#,#,#,#,#,#,-0.399375,0.05806,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD30,5,#,#,#,#,#,#,-0.40625,0.05799,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD35,5,#,#,#,#,#,#,-0.371875,0.05855,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD36,5,#,#,#,#,#,#,-0.365,0.05815,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD37,5,#,#,#,#,#,#,-0.365,0.05792,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD38,5,#,#,#,#,#,#,-0.365,0.05833,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD39,5,#,#,#,#,#,#,-0.37875,0.0582,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD40,5,#,#,#,#,#,#,-0.385625,0.05808,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD45,5,#,#,#,#,#,#,-0.371875,0.05827,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD46,5,#,#,#,#,#,#,-0.3753125,0.05812,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD47,5,#,#,#,#,#,#,-0.3684375,0.0579,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD48,5,#,#,#,#,#,#,-0.3684375,0.05814,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD49,5,#,#,#,#,#,#,-0.365,0.05751,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD50,5,#,#,#,#,#,#,-0.358125,0.05833,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD55,5,#,#,#,#,#,#,-0.3615625,0.05804,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD56,5,#,#,#,#,#,#,-0.365,0.05843,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD57,5,#,#,#,#,#,#,-0.358125,0.05848,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD58,5,#,#,#,#,#,#,-0.358125,0.05813,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD59,5,#,#,#,#,#,#,-0.35125,0.05801,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD60,5,#,#,#,#,#,#,-0.35125,0.05765,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD7,5,#,#,#,#,#,#,-0.4509375,0.05794,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD8,5,#,#,#,#,#,#,-0.4440625,0.05807,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AD9,5,#,#,#,#,#,#,-0.4303125,0.05824,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ10,5,#,#,#,#,#,#,-0.454375,0.0575,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ15,5,#,#,#,#,#,#,-0.3959375,0.05799,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ16,5,#,#,#,#,#,#,-0.399375,0.05761,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ17,5,#,#,#,#,#,#,-0.3890625,0.05805,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ18,5,#,#,#,#,#,#,-0.3925,0.0583,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ19,5,#,#,#,#,#,#,-0.385625,0.0584,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ20,5,#,#,#,#,#,#,-0.3925,0.05763,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ25,5,#,#,#,#,#,#,-0.37875,0.0578,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ26,5,#,#,#,#,#,#,-0.3890625,0.05792,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ27,5,#,#,#,#,#,#,-0.385625,0.05806,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ28,5,#,#,#,#,#,#,-0.3925,0.05751,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ29,5,#,#,#,#,#,#,-0.3890625,0.0582,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ30,5,#,#,#,#,#,#,-0.3925,0.05805,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ35,5,#,#,#,#,#,#,-0.37875,0.05801,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ36,5,#,#,#,#,#,#,-0.3821875,0.05804,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ37,5,#,#,#,#,#,#,-0.3753125,0.05815,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ38,5,#,#,#,#,#,#,-0.37875,0.05815,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ39,5,#,#,#,#,#,#,-0.371875,0.05785,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ40,5,#,#,#,#,#,#,-0.371875,0.05827,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ45,5,#,#,#,#,#,#,-0.358125,0.05809,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ46,5,#,#,#,#,#,#,-0.3546875,0.05817,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ47,5,#,#,#,#,#,#,-0.35125,0.05807,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ48,5,#,#,#,#,#,#,-0.358125,0.05772,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ49,5,#,#,#,#,#,#,-0.3546875,0.05821,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ50,5,#,#,#,#,#,#,-0.358125,0.05786,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ55,5,#,#,#,#,#,#,-0.3478125,0.05816,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ56,5,#,#,#,#,#,#,-0.3546875,0.05786,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ57,5,#,#,#,#,#,#,-0.344375,0.05803,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ58,5,#,#,#,#,#,#,-0.35125,0.05762,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ59,5,#,#,#,#,#,#,-0.3546875,0.05785,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ60,5,#,#,#,#,#,#,-0.35125,0.05832,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AJ9,5,#,#,#,#,#,#,-0.46125,0.05786,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP15,5,#,#,#,#,#,#,-0.426875,0.05748,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP16,5,#,#,#,#,#,#,-0.42,0.0585,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP17,5,#,#,#,#,#,#,-0.413125,0.05811,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP18,5,#,#,#,#,#,#,-0.413125,0.05768,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP19,5,#,#,#,#,#,#,-0.399375,0.05819,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP20,5,#,#,#,#,#,#,-0.399375,0.05856,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP25,5,#,#,#,#,#,#,-0.365,0.05818,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP26,5,#,#,#,#,#,#,-0.371875,0.05843,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP27,5,#,#,#,#,#,#,-0.365,0.05801,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP28,5,#,#,#,#,#,#,-0.371875,0.05837,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP29,5,#,#,#,#,#,#,-0.365,0.05808,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP30,5,#,#,#,#,#,#,-0.371875,0.05765,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP35,5,#,#,#,#,#,#,-0.35125,0.05833,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP36,5,#,#,#,#,#,#,-0.35125,0.05825,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP37,5,#,#,#,#,#,#,-0.3546875,0.05807,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP38,5,#,#,#,#,#,#,-0.3546875,0.05796,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP39,5,#,#,#,#,#,#,-0.358125,0.05773,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP40,5,#,#,#,#,#,#,-0.3615625,0.05801,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP45,5,#,#,#,#,#,#,-0.35125,0.05789,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP46,5,#,#,#,#,#,#,-0.35125,0.05823,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP47,5,#,#,#,#,#,#,-0.35125,0.05765,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP48,5,#,#,#,#,#,#,-0.3546875,0.05796,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP49,5,#,#,#,#,#,#,-0.35125,0.05835,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP50,5,#,#,#,#,#,#,-0.3546875,0.058,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP55,5,#,#,#,#,#,#,-0.3478125,0.05806,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP56,5,#,#,#,#,#,#,-0.35125,0.05796,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP57,5,#,#,#,#,#,#,-0.3546875,0.05787,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AP58,5,#,#,#,#,#,#,-0.365,0.05792,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AV25,5,#,#,#,#,#,#,-0.413125,0.05839,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AV26,5,#,#,#,#,#,#,-0.413125,0.05817,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AV27,5,#,#,#,#,#,#,-0.399375,0.05744,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AV28,5,#,#,#,#,#,#,-0.40625,0.05833,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AV29,5,#,#,#,#,#,#,-0.4028125,0.05813,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,AV30,5,#,#,#,#,#,#,-0.40625,0.05747,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
