,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain
2,12,1,-4.99,16.28,22.27
12,12,1,-5.1,16.17,22.27
22,12,1,-5.22,16.18,22.41
32,12,1,-5.26,16.05,22.32
42,12,1,-5.29,16.14,22.43
52,12,1,-5.24,16.09,22.33
62,12,1,-5.41,16.07,22.48
72,12,1,-5.24,16.1,22.35
82,12,1,-5.35,15.93,22.28
92,12,1,-5.48,15.95,22.43
102,12,1,-5.35,15.95,22.3
112,12,1,-5.55,15.86,22.41
122,12,1,-5.53,15.81,22.35
132,12,1,-5.29,15.93,22.23
142,12,1,-5.66,15.9,22.56
152,12,1,-5.58,15.74,22.33
162,12,1,-5.58,15.8,22.38
172,12,1,-5.61,15.77,22.38
182,12,1,-5.66,15.74,22.4
192,12,1,-5.57,15.78,22.36
202,12,1,-5.51,15.76,22.28
212,12,1,-5.39,15.8,22.2
222,12,1,-5.39,15.89,22.29
232,12,1,-5.4,15.83,22.24
242,12,1,-5.39,15.89,22.29
252,12,1,-5.7,15.81,22.52
262,12,1,-5.53,15.9,22.43
272,12,1,-5.6,15.91,22.52
282,12,1,-5.55,15.85,22.4
292,12,1,-5.95,15.7,22.65
302,12,1,-5.75,15.9,22.65
312,12,1,-5.75,15.92,22.67
322,12,1,-5.79,15.98,22.78
332,12,1,-5.74,15.97,22.71
342,12,1,-4.96,16.23,22.19
352,12,1,-5.14,16.1,22.25
362,12,1,-5.34,16.08,22.43
372,12,1,-5.28,16.06,22.35
382,12,1,-5.61,15.92,22.53
392,12,1,-5.43,15.91,22.35
402,12,1,-5.67,15.79,22.47
412,12,1,-5.54,15.83,22.38
422,12,1,-5.69,15.75,22.44
432,12,1,-5.86,15.74,22.61
442,12,1,-5.64,15.76,22.41
452,12,1,-5.74,15.78,22.52
462,12,1,-5.88,15.73,22.61
472,12,1,-5.89,15.71,22.6
482,12,1,-5.85,15.74,22.6
492,12,1,-5.88,15.69,22.58
502,12,1,-5.82,15.71,22.53
512,12,1,-5.62,15.74,22.36
522,12,1,-5.7,15.82,22.53
532,12,1,-5.6,15.79,22.4
542,12,1,-5.74,15.78,22.53
552,12,1,-5.63,15.78,22.41
562,12,1,-5.7,15.75,22.45
572,12,1,-5.72,15.8,22.52
582,12,1,-5.53,15.83,22.36
592,12,1,-5.68,15.82,22.5
602,12,1,-5.72,15.74,22.46
612,12,1,-5.76,15.8,22.57
622,12,1,-5.78,15.77,22.55
632,12,1,-5.72,15.79,22.51
642,12,1,-5.73,15.86,22.6
652,12,1,-5.57,15.85,22.42
662,12,1,-5.69,15.85,22.55
672,12,1,-5.7,15.87,22.58
682,12,1,-5.65,15.91,22.57
692,12,1,-5.62,15.81,22.44
702,12,1,-5.49,15.77,22.26
712,12,1,-5.39,15.81,22.21
722,12,1,-4.52,16.37,21.89
732,12,1,-4.67,16.29,21.97
742,12,1,-4.84,16.14,21.98
752,12,1,-5.19,16.11,22.31
762,12,1,-5.35,16.0,22.36
772,12,1,-5.77,15.79,22.57
782,12,1,-5.84,15.73,22.57
792,12,1,-5.84,15.77,22.62
802,12,1,-5.85,15.74,22.6
812,12,1,-6.19,15.57,22.77
822,12,1,-5.77,15.69,22.46
832,12,1,-6.0,15.65,22.65
842,12,1,-5.92,15.71,22.63
852,12,1,-5.92,15.63,22.55
862,12,1,-5.95,15.71,22.67
872,12,1,-5.82,15.73,22.55
882,12,1,-5.87,15.6,22.47
892,12,1,-5.98,15.67,22.65
902,12,1,-5.85,15.66,22.52
912,12,1,-6.16,15.55,22.71
922,12,1,-5.99,15.58,22.58
932,12,1,-6.11,15.57,22.69
942,12,1,-5.9,15.7,22.6
952,12,1,-5.9,15.76,22.67
962,12,1,-5.72,15.79,22.51
972,12,1,-5.84,15.82,22.67
982,12,1,-5.8,15.75,22.55
992,12,1,-5.76,15.79,22.56
1002,12,1,-5.78,15.76,22.55
1012,12,1,-5.74,15.73,22.47
1022,12,1,-5.81,15.78,22.59
1032,12,1,-5.75,15.77,22.52
1042,12,1,-5.56,15.86,22.42
1052,12,1,-5.37,15.89,22.26
1062,12,1,-5.4,15.84,22.25
1072,12,1,-5.72,15.93,22.66
1082,12,1,-5.75,15.95,22.71
1092,12,1,-5.59,15.99,22.59
1102,12,1,-5.52,16.07,22.59
1112,12,1,-5.53,16.03,22.57
1122,12,1,-5.72,15.98,22.71
1132,12,1,-5.72,15.88,22.61
1142,12,1,-5.81,15.87,22.69
1152,12,1,-5.75,15.79,22.54
1162,12,1,-5.81,15.83,22.65
1172,12,1,-5.73,15.91,22.65
1182,12,1,-5.69,15.8,22.5
1192,12,1,-5.76,15.87,22.63
1202,12,1,-5.68,15.84,22.53
1212,12,1,-5.74,15.86,22.6
1222,12,1,-5.67,15.86,22.54
1232,12,1,-5.57,15.78,22.35
1242,12,1,-5.71,15.84,22.56
1252,12,1,-5.58,15.86,22.44
1262,12,1,-5.59,15.87,22.46
1272,12,1,-5.59,15.9,22.49
1282,12,1,-5.65,15.87,22.52
1292,12,1,-5.56,15.84,22.4
1302,12,1,-5.48,15.81,22.3
1312,12,1,-5.04,16.18,22.23
1322,12,1,-4.89,16.22,22.11
1332,12,1,-4.9,16.2,22.1
1342,12,1,-5.06,16.17,22.23
1352,12,1,-5.33,16.06,22.4
1362,12,1,-5.33,16.05,22.38
1372,12,1,-5.3,16.09,22.4
1382,12,1,-5.64,16.03,22.68
1392,12,1,-5.55,16.01,22.57
1402,12,1,-5.63,16.05,22.69
1412,12,1,-5.41,15.99,22.41
1422,12,1,-5.45,15.99,22.45
1432,12,1,-5.42,16.05,22.47
1442,12,1,-5.51,15.95,22.47
1452,12,1,-5.59,15.99,22.59
1462,12,1,-5.49,16.02,22.51
1472,12,1,-5.65,15.99,22.64
1482,12,1,-5.57,15.91,22.49
1492,12,1,-5.65,15.9,22.55
1502,12,1,-5.59,15.99,22.58
1512,12,1,-5.61,15.91,22.53
1522,12,1,-5.5,15.99,22.5
1532,12,1,-5.41,15.97,22.39
1542,12,1,-5.63,15.94,22.58
1552,12,1,-5.45,15.95,22.41
1562,12,1,-5.42,15.99,22.42
1572,12,1,-5.4,15.94,22.35
1582,12,1,-5.46,15.87,22.33
1592,12,1,-4.59,16.36,21.96
1602,12,1,-4.91,16.24,22.15
1612,12,1,-5.15,16.25,22.41
1622,12,1,-5.05,16.24,22.29
1632,12,1,-5.31,16.13,22.45
1642,12,1,-5.25,16.15,22.4
1652,12,1,-5.49,16.02,22.51
1662,12,1,-5.39,16.04,22.43
1672,12,1,-5.34,15.97,22.31
1682,12,1,-5.37,16.06,22.43
1692,12,1,-5.31,16.06,22.38
1702,12,1,-5.59,15.98,22.57
1712,12,1,-5.48,16.02,22.51
1722,12,1,-5.59,15.98,22.58
1732,12,1,-5.61,15.9,22.51
1742,12,1,-5.5,15.92,22.42
1752,12,1,-5.36,16.01,22.38
1762,12,1,-5.12,16.1,22.23
1772,12,1,-5.26,16.0,22.26
1782,12,1,-5.25,15.97,22.23
1792,12,1,-5.42,15.96,22.39
1802,12,1,-5.41,15.94,22.36
1812,12,1,-5.79,15.76,22.55
1822,12,1,-5.55,15.87,22.43
1832,12,1,-5.39,15.97,22.36
1842,12,1,-5.52,15.96,22.49
1852,12,1,-5.45,15.96,22.41
1862,12,1,-5.56,15.96,22.53
1872,12,1,-5.53,15.96,22.5
1882,12,1,-5.68,15.88,22.57
1892,12,1,-5.63,15.97,22.6
1902,12,1,-5.57,15.93,22.5
1912,12,1,-5.68,15.87,22.56
1922,12,1,-5.57,15.92,22.5
1932,12,1,-5.63,15.92,22.55
1942,12,1,-5.41,15.83,22.25
1952,12,1,-4.89,16.29,22.19
1962,12,1,-5.07,16.18,22.25
1972,12,1,-5.24,16.15,22.39
1982,12,1,-5.11,16.16,22.27
1992,12,1,-5.29,16.11,22.4
2002,12,1,-5.28,16.07,22.35
2012,12,1,-5.34,16.07,22.41
2022,12,1,-5.29,15.99,22.29
2032,12,1,-5.32,15.98,22.3
2042,12,1,-5.25,16.05,22.3
2052,12,1,-5.11,16.03,22.14
2062,12,1,-5.23,16.01,22.25
2072,12,1,-5.24,15.98,22.22
2082,12,1,-5.3,15.99,22.3
2092,12,1,-5.3,15.86,22.17
2102,12,1,-5.17,15.97,22.14
2112,12,1,-5.27,15.96,22.23
2122,12,1,-5.13,15.97,22.1
2132,12,1,-5.14,15.94,22.08
2142,12,1,-5.14,15.94,22.08
2152,12,1,-5.15,15.99,22.15
2162,12,1,-5.18,15.98,22.16
2172,12,1,-5.22,15.95,22.17
2182,12,1,-5.43,15.88,22.31
2192,12,1,-5.33,15.94,22.28
2202,12,1,-5.57,15.9,22.47
2212,12,1,-5.44,15.92,22.37
2222,12,1,-5.67,15.89,22.57
2232,12,1,-5.81,15.81,22.62
2242,12,1,-5.75,15.85,22.6
2252,12,1,-5.76,15.95,22.72
2262,12,1,-5.58,16.04,22.62
2272,12,1,-5.76,15.93,22.69
2282,12,1,-5.56,15.99,22.55
2292,12,1,-5.7,16.0,22.71
2302,12,1,-5.54,15.93,22.48
2312,12,1,-5.55,15.84,22.39
2322,12,1,-4.72,16.36,22.08
2332,12,1,-4.76,16.36,22.12
2342,12,1,-4.83,16.33,22.16
